pl_rade,pl_bmasse
14.01125,371.8611
16.47723,336.8998
14.145758,238.3725
15.278,441.77
13.4508,413.179
19.436406,448.1403
18.304297,1398.452
18.091326,1379.3822
14.5717,2542.64
30.48848,953.49
22.86636,635.66
6.18,169.0
9.33708092,87.08498352
12.800678,410.95419
13.22662,422.7139
12.811887,411.27202
17.295487,233.92288
14.056,792.635
12.823,790.41
12.285064,1369.8473
12.722215,1938.763
12.408363,1373.0256
11.903958,212.31044
19.0553,597.5204
14.403565,117.91493
11.309881,378.2177
7.22979255,147.15455244
12.520453,617.22586
12.18416202,1379.37528638
13.31626907,1017.0509024
11.5004142,4049.13390518
2.87,16.9
2.265,10.15
2.587,13.5
2.651,2.5
1.791,9.95
14.57167491,1064.72516345
3.66,19.8
3.56,19.28
13.0,336.0
16.8135,309.56642
13.32,325.69
9.02,51.42
1.9,31.0
2.76948277,7.6
4.62115423,12.3
2.5456702,24.0
3.73591482,32.0
2.53,12.2
9.01941098,28.3
9.19,27.4
2.5064654,32.0
3.03617429,10.0
16.1966394,377.0
2.40974309,6.8
8.71664516,120.0
8.5972882,144.92975359
10.5140239,75.96098927
2.415,6.28
2.91,1112.3994245
3.65,15.4
1.694,5.9
1.738,6.91
2.37611439,6.6
3.01,8.1
2.51,8.8
2.45109846,9.1
3.51,5.3
3.43139739,5.4
3.78,14.8
3.5141875,14.5
6.8084859,27.4
3.2710301,11.9
2.726,9.5
2.759,6.63
2.93,13.6
11.45557828,140.16232749
2.34,8.6
2.41,8.56
2.76,13.2
2.82,11.8
3.12,11.84
2.52,4.46
2.62,4.23
2.458,15.9
2.37,13.5
1.673,6.4
1.56,2.2
2.13,2.88
1.98,3.17
9.1,96.4
2.40144286,6.4
4.14,24.6
4.13204907,27.0
11.09689089,70.55790635
2.66146528,10.6
5.24,42.0
4.96846551,44.1
10.12369881,63.9
15.69257298,451.31633794
14.11645916,95.3
13.79825524,94.71286529
9.42675277,113.14691289
9.65807033,99.0
3.42,22.4
15.647764,753.2571
1.81434694,12.2
1.8,11.1
1.6,6.4
1.67761121,9.0
6.2163865,45.8
6.05284958,47.03860424
3.10083009,12.5
1.19880592,2.0
1.62,3.48
11.89,25.1
3.93681551,12.1
3.96,9.0
16.70138124,991.62462984
2.43471042,10.4
4.2427861,38.5
2.30381001,30.0
1.41792246,3.58
2.749,19.5
1.13,1.258
2.61143902,15.2
1.672,4.82
1.173,2.32
2.224,2.95
1.6759955,9.0
1.401,3.04
1.28,3.21
2.126,4.1
2.064,6.64
2.18,7.32
2.47,7.24
4.15964583,16.5
11.88154,270.47333
14.067295,797.7533
15.46842,556.2025
21.01683881,731.0053361
14.414774,375.0394
14.19902343,387.0
13.887951,314.6517
16.690201,387.7526
1.79,4.91
1.749,10.14
2.2963977,13.0
2.06,41.31769291
11.06326395,200.23189641
1.459,3.43
1.468,3.03
1.7,3.09
1.7,3.78
12.172974,251.40353
3.56505068,14.6
5.3422266,31.3
2.03,5.5
1.9,6.36
3.24,56.6
3.09,48.8
5.20315158,22.4
5.15,18.4
10.816685,1722.6386
3.29206019,10.4
5.05,26.78
3.18175535,12.3
3.05,11.9
2.44,12.8
2.36507598,9.7
1.39,57.0
2.12,14.0
2.52,15.0
2.9507845,19.5
2.47852533,16.6
3.5573684,6.9
3.06,6.8
3.12029598,15.0
3.14,10.8
8.04728896,96.0
1.21612741,1.4
1.152,1.5
1.669,4.77
2.572,3.01
2.207,3.86
2.287,7.72
2.87,3.94
16.14093221,222.4798849
3.29701268,8.7
2.38506569,6.5
1.39939037,5.6
1.42238884,4.0
2.079,5.738
1.96061882,16.0
2.99,10.32
4.29,8.0
1.49681583,2.44
6.9559,46.1687
11.14172682,308.9292116
12.778238,731.0053361
7.5406241,67.4
2.7438269,16.0
8.00321222,38.45723725
8.28055741,24.7
2.59987579,8.0
12.3485023,89.4
3.46,73.2
18.49481816,360.09958513
9.39553231,129.0
12.89035,209.7678
11.09689089,212.94503269
13.97759893,638.83509807
13.67495645,7024.0077947
2.7,11.0
8.14,81.7
11.298672,133.4886
11.81426566,408.7273314
3.39,16.4
3.309,9.2
5.33275337,34.4
11.89272852,1144.1822652
12.52043144,1398.4449908
2.77062554,16.1
3.69441587,55.0
3.43087751,29.0
3.6831179,37.0
1.25,4.1
1.33,7.4
13.57407563,263.79757781
15.098497,1595.49860314
2.122,6.8
2.08874836,4.5
2.69,9.13
7.27,41.89
2.2,4.7
2.19,6.37
2.09,15.0
3.05,24.0
12.41899699,1767.0
11.98240037,1671.77742082
14.35870428,899.45439181
16.28664896,292.40213444
10.76062147,260.61929374
11.29,200.0
7.69,30.0
11.32107051,875.61726129
19.83989584,298.75870258
3.51,26.0
3.03,13.8
11.1529358,203.41018048
14.36991326,502.16888306
1.74,19.5
16.47720163,278.09985612
9.97599282,50.85254512
11.2089807,1900.61387386
8.60849718,71.51139158
10.83908434,206.58846455
10.42435205,2955.8041851
6.81,56.64
11.72459381,1830.69162432
1.402,3.4
2.18,6.7
11.48920522,624.85064816
2.86,15.6
9.86390302,953.485221
10.36830715,105.83685953
1.52,2.68
2.363,4.8
9.60609646,124.90656395
2.83,13.31
11.14172682,1531.93292174
6.06,34.62
11.2089807,203.41018048
11.54525012,743.71847238
11.25381662,415.40172795
10.92875618,63.88350981
7.16253867,43.86032017
13.64132951,260.61929374
17.37392009,200.23189641
14.4595851,79.45710175
12.07207221,69.28659273
12.10569916,1112.3994245
1.71,4.23
1.47291596,3.3
18.10250383,122.6817651
2.77,8.8
1.206,1.58
2.355,6.15
2.133,4.78
13.72,228.0
17.26183028,139.84449908
18.11371281,309.88269682
15.27784069,225.65816897
12.84549188,117.59651059
1.42,4.53
1.88,3.72
12.32987877,368.68095212
13.15934334,533.95172376
13.4,638.0
12.55405838,953.485221
16.43236571,197.05361234
7.16,68.2
11.39953337,211.35589065
3.82,30.3
4.94057819,40.4
3.2,57.2
15.55806521,176.07693748
12.97999965,721.47048389
12.22899794,530.77343969
3.22,8.97
23.53885947,375.03752026
5.3,26.4
8.29464572,82.63538582
8.29464572,77.2323029
13.08088048,311.47183886
12.59889431,324.18497514
11.32107051,222.4798849
11.14172682,218.98377242
12.0,85.3
5.14,14.95
18.49481816,330.54154328
13.13692538,352.78953177
10.87271128,187.51876013
6.43,32.59
6.0,16.5
15.15454191,279.68899816
15.22179579,270.15414595
15.27784069,260.61929374
14.28024141,129.03833324
12.31866979,1233.17421916
12.27383387,55.61997123
7.9,44.0
3.02,11.0
5.93,20.31
6.18,38.15
1.32,2.08
2.08,6.57
13.04725353,232.01473711
1.362,13.71
2.328,9.72
12.28504285,731.0053361
13.57407563,457.67290608
13.30506009,136.66621501
16.11851425,365.50266805
13.67495645,788.21444936
12.69,825.0
12.66614819,816.81900599
2.64,6.7
2.68,7.17
5.09,14.1
5.09,16.42
1.28,3.07
3.29,9.9
11.2089807,95.3485221
2.52,5.4
13.26022417,252.35575516
12.17,637.0
12.53,732.0
6.8,959.84178914
9.42,2946.26933289
11.67975789,4096.80816623
12.44196858,734.18362017
2.85372018,20.8
11.09691,486.2799
8.47398941,212.94503269
8.7,86.7
12.87,227.0
8.54124329,88.99195396
1.166,1.42
6.25,32.7
10.76062147,642.01338214
3.48935569,16.14568308
3.2,16.0
6.6,32.0
11.98240037,921.7023803
1.54,3.57
11.88151954,1036.12060682
11.99363,4449.62
11.54525012,147.15455244
11.87031056,166.85991368
11.6,343.0
9.86,657.0
12.778238,743.71847238
11.9,170.4
9.30345398,127.1313628
9.86390302,190.6970442
13.09208946,1182.32167404
13.19297028,1160.07368555
13.5292397,1080.6165838
5.82,61.5
10.60369574,130.94530368
9.7,135.0
10.3,58.7
3.52,11.8
2.018,2.89
11.30986153,419.53349724
9.75,112.0
12.17295304,1147.36054927
12.22899794,1910.14872607
1.45,3.2
1.45661206,3.0
1.425,2.0
2.91,5.39
2.92706747,6.9
2.9,7.0
2.72148317,11.0
2.82,13.2
2.55,12.6
10.78,624.0
10.42,588.0
11.43318,464.98529
4.91,20.0
10.3,124.0
1.09,4.3
8.54,73.0
1.03,4.0
13.67495645,371.85923619
11.92,254.0
6.41,78.5
14.3474953,333.71982735
18.97680433,138.25535705
9.2362001,96.30200732
11.88154,2011.8639
1.059,1.17
11.29,331.0
19.851139,279.6904
19.2794468,181.16219199
10.98480109,235.19302118
2.27,4.45
2.26,3.65
1.92,5.2
5.09,61.0
2.58606487,10.0
2.6,9.8
9.52763359,66.74396547
5.25,23.6
13.11453,392.83788
9.5836785,53.39517238
1.992,5.72
2.5,10.5
8.33948164,79.77493016
2.28,9.79
2.63,9.32
1.36,2.47
1.798,5.0
1.85,4.0
2.02,5.3
2.047,6.9
15.4,878.0
2.734,19.1
2.94,7.6
2.62,23.5
2.926,18.467
1.704,4.53
2.587,9.6
9.16894621,120.45696625
9.71,116.0
14.06727078,349.6112477
11.99363,301.9385
13.125739,211.99261
3.186,16.137
9.550068,55.30242
2.765,9.1
1.086,0.85
1.056,1.38
0.772,0.41
0.918,0.62
1.045,0.68
1.127,1.34
12.318691,241.86863
11.96,238.998
13.955205,457.6752
13.977623,380.44251
13.775861,398.24099
13.372337,383.30298
14.134549,398.24099
13.719816,381.396
14.627745,607.0553
14.68379,603.55917
14.706208,615.95454
19.447615,285.09351
19.626959,292.4036
20.28829,278.73691
20.602142,157.00802
19.122554,291.45011
13.383546,568.9157
16.241841,268.88418
16.735037,311.4734
16.634156,273.3338
11.960003,1004.3428
12.3,1017.0
12.106,1001.12
18.94,645.17
15.8,158.91
14.90794433,197.68926915
17.127,473.547
12.745,404.263
10.76064,572.094
12.162,611.797
10.53646,38.1396
10.20019,168.4499
11.09691,156.37236
15.793481,150.96925
15.008851,562.24127
13.67495645,203.41018048
11.444,87.5585
16.14096,163.36462
15.6926,390.9309
20.389171,448.1403
19.39157,444.962
21.711833,465.62095
21.2971,467.2101
20.456425,454.4969
20.84874,638.8383
16.510857,1541.4755
20.904785,375.99289
14.773462,285.72917
13.89916,190.698
10.76064,88.9924
15.35633,57.2094
10.42437,317.83
17.127352,162.72896
9.97601,390.9309
13.67498,85.8141
10.09929161,136.0305582
9.75183,130.3103
1.841,6.26
13.56289,368.6828
15.46842,479.9233
12.21781,387.7526
8.9672,37.18611
13.89916,2412.3297
18.304297,2510.857
16.14096,775.5052
13.56289,854.9627
17.14977,266.9772
9.52765,139.8452
10.0881,282.8687
12.498035,87.40325
8.092898,92.48853
15.24421375,314.96795134
15.782272,188.15536
11.99363,2688.8418
12.66617,98.5273
17.37395,123.9537
10.76062147,198.96058278
13.45077684,276.8285425
5.71659,40.68224
6.02802815,41.8
11.99363,886.7457
15.46842,174.8065
13.652562,264.43456
12.21781,88.35674
12.811887,791.3967
11.209,1652.716
13.473218,594.3421
12.643752,676.9779
14.12334,209.13214
7.06167,32.10083
17.71022,2542.64
16.8135,133.4886
14.616536,178.30263
21.18501,162.0933
22.317119,154.46538
12.285064,508.528
10.98482,344.52772
17.59813,149.3801
14.403565,1102.8701
13.4508,1172.7927
14.5717,413.179
16.10730527,104.88337431
13.540472,314.6517
16.869545,271.74465
17.71022,161.45764
21.74546,448.1403
20.28829,527.5978
12.980022,3270.4707
13.89913607,3241.8497514
13.036067,3299.0754
14.6,3241.7
13.89916,286.047
13.271456,95.03117
9.52765,47.03884
16.47723,159.55066
14.90797,181.1631
14.01125,311.4734
14.81827249,458.6263913
18.14733975,632.47852993
15.80469,362.3262
15.602928,339.76027
15.636555,354.06262
15.86070769,366.77398168
12.89035,317.83
13.78707,731.009
16.40994774,44.17814857
15.47960235,373.13054982
10.31226224,33.05415433
14.44837612,403.32424848
12.52,290.484
12.005,290.802
11.690987,269.20201
11.690987,269.20201
11.915167,279.6904
12.116929,295.89973
16.388,98.841
14.156967,93.75985
13.439591,196.10111
12.55408,177.9848
14.605327,352.47347
13.977623,190.06234
14.79585452,324.18497514
13.630144,324.1866
15.177,285.717
13.597,288.26
16.297886,654.7298
15.871944,645.1949
14.68379,559.3808
17.37395,152.5584
18.819911,1042.4824
17.855937,665.21819
13.675,187.51
14.874343,750.39663
14.358729,726.55938
12.3,858.1
14.336311,89.31023
14.23543,88.9924
15.289076,396.96967
15.367539,409.68287
14.90797,386.48128
15.210613,393.15571
13.204202,310.51991
13.22662,298.7602
12.576498,167.49641
11.276254,635.02434
10.42,572.1
12.3299,276.5121
10.98482,275.55861
10.603714,306.38812
11.119328,318.46566
13.159366,607.0553
18.71903,312.74472
15.65,288.0
13.428382,126.81417
12.184,502.15
13.125739,520.28771
13.170575,506.93885
12.218,502.15
13.047276,497.40395
13.069694,466.828704
13.708607,146.2018
14.24,146.2
12.038466,677.61356
18.528,202.131
14.964015,199.27941
12.24,181.473
11.76945,204.68252
10.267,213.573
15.36,282.86
8.687,274.276
13.67498,158.915
13.78707,154.14755
13.731025,177.9848
9.64,163.358
13.56289,654.7298
15.02006,184.3414
14.247,403.945
12.464,492.62
13.9,301.93
9.113,82.632
11.847913,82.6358
15.401166,311.4734
14.90797,305.1168
15.277867,305.1168
10.256235,305.1168
13.047,187.512
16.37,712.545
14.24,491.3763
13.002,597.5
17.48604,301.9385
15.737436,262.52758
14.235,340.06
20.51247,292.4036
20.78145022,284.13859586
20.68056939,289.22385037
13.78704626,529.81995447
13.5,572.1
13.56289,559.3808
19.055,282.857
23.09054,273.3338
17.14977,270.1555
23.43,286.03
17.14974047,270.15414595
11.2,699.2
11.197791,170.99254
10.65,174.8
16.017661,231.69807
18.71903,394.1092
19.17,397.27
11.65736,95.349
10.939984,218.34921
10.559,220.565
19.055,177.98
11.65736,1875.197
18.27067,200.2329
11.54527,425.8922
16.376349,255.85315
17.900773,467.2101
19.28,143.653
13.56,359.13
13.45,152.55
12.67,419.52
12.33,263.79
12.823096,293.03926
12.33,883.53
10.4,4386.054
10.468,6992.0
16.7,1274.44
15.277867,355.9696
11.5609626,188.15536
12.9934728,232.33373
1.24,2.53
2.043,6.26
2.043,6.27
13.518054,293.67492
11.018447,179.89178
11.029656,188.47319
11.119328,176.39565
13.988832,3759.9289
14.425983,491.68301
14.45961,483.41943
12.89035,365.5045
12.78,378.2
12.206601,344.52772
23.20263,1398.452
15.389957,225.34147
16.8,6356.0
2.06,4.52
2.042,4.82
