pl_orbper,pl_rade
0.7365437,2.08
8.463,4.07
18.859019,3.24
41.6855,2.23
4.2889731,21.59
8040000.0,20.8487041
402000000.0,12.44196858
1.5089686,17.385159
1.508976552,15.91678
13.2406,10.547669
13.2406,10.87
2.99433,15.984034
2.99433,16.03
2.828042,15.13215
2.828042,16.14
4.03519,9.92
4.03519,14.033668
1.51214,11.410762
1.51214,12.22
3.7681,11.43
3.7681,11.287463
1.9000693,14.022459
1.9000693,14.68
3.89713,14.46
3.89713,13.33871
1.7429935,16.47723
1.7429935,16.36514
9.24285,13.00244
9.24285,9.42
9.75598,4.88
3.6313,11.77
3.6313,13.22662
5.1134,3.7
11.759,5.0
4.86069,12.11
4.20474,14.12
3.57532,11.287
4.2567994,11.623733
3.22748,18.83108758
5.616531,15.80466279
9.20205,13.00244
9.20205,13.34
4.0378962,15.558
4.0378962,13.249038
8.886593,13.282665
8.886593,13.068
0.853585,1.860694
0.85359159,1.585
6.21229,7.980808
95.272656,11.948794
95.2738,11.623733
6.71837,6.38913
0.87724,1.565
19.49213,6.12
0.571336,1.82
0.5713127,1.676
0.571292,1.52
0.571292,1.725
13.33989,2.84
13.3397,2.5
13.3387,2.77
13.3397,2.836
16.141132,2.332
6.180235,11.780659
3650.0,12.44199
3.5951,1.95
15.624,3.67
35.747,3.94
5.7459982,1.9
5.746007,2.025
1.62892911,1.19151465
1.628931,1.13
1.58040433,2.742
1.580404531,2.733
0.5182349,1.193
35.61253,2.61
2.8531054,2.13
3.33714,4.2
3.3366496,4.57
3.3366487,3.88
1.1980035,1.264
3.93072,1.217
0.321962,0.718
0.3219225,0.699
2.616235,1.09
2.6162745,1.15
50.8,2.63
749.83,8.4
2.64389788,4.1910451
2.64389524,4.091285
2.64385,4.2224
1.4671205,1.343
1.467119,1.305
1.46712127,1.289
0.9263237,1.331
1.2089802,1.62
1.2089819,1.577
1.208966,1.58
1.208974,1.44
3.648083,1.269
3.648096,1.241
3.64823,1.24
3.648103,1.13
6.20183,1.98
6.20147,2.022
6.20142,2.04
6.201812,1.89
6.201467,2.07
1.744579,16.47720163
12.76142,0.9
12.761408,0.958
4.4652934,13.641353
4.4652968,14.784671
4.46543,13.921578
4.46529976,14.784671
4.8878162,4.73
4.887802443,4.901
4.88781501,4.449973
3.21305992,10.301071
3.2130598,10.749
2.9162382,16.667783
2.91626,14.359
4.6276691,13.663771
4.627649,13.4508
4.627669,12.89
10.863502,12.016
2.775970244,13.33871
2.77596,14.448
10.338523,11.321
5.508023,11.153
5.507978,10.614923
4.008778,12.689
4.00878322,11.29865255
5.6334729,13.33871
5.63332,11.242627
5.6334729,12.969
5.6,12.3
2.875316938,11.489225
2.875317,9.718
2.9,9.75
4.124481,11.478
3.21223328,11.88154
3.21222,12.106
3.2122312,12.10572
1.212884,15.334
1.21288287,13.72
3.35524,13.922
3.65281514,12.722215
3.652836,13.339
4.234516,6.333
3.257215,13.585
5.723186,12.408
5.72339,11.926376
2.899703,10.076891
2.899736,10.614923
2.89973838,10.211399
2.810595,15.02
5.005425,11.99
2.150008,20.053
2.1500082,22.19382
3.474474,18.898
5.452654,13.417
3.646706,14.93
1.327347,14.168
1.3273466,15.210613
1.32734683,14.616536
1.32734683,14.313893
2.797436,13.204
4.640382,9.247
3.54387,17.609
3.0565195,14.986433
3.056536,14.28
4.457243,19.392
2.694047,18.887
4.641878,14.348
3.332687,14.359
4.301219,13.922
3.128992,15.984
4.463129,14.392
2.691548,15.838
2.788491,14.056086
3.1220109,14.437192
4.2180278,14.493237
4.21802091,13.50682174
2.7535953,11.309881
1.9616241,14.773462
3.799847,10.581296
3.5852467,13.249038
3.5852313,14.84069045
2.7908327,16.432394
2.465295,15.838317
4.0138379,14.93036229
4.1419771,12.58768533
3.852985,14.90797
3.853003,15.636555
4.7947813,18.28184752
1.90231289,10.07687365
2.6453235,12.02723629
3.377728,12.5428494
4.007232,19.08889413
2.6054552,21.18501
2.60544751,18.05766791
2.972086,17.82231
4.8101025,23.370765
2.29840551,12.016048
4.7869491,18.786284
2.204737,15.043
2.2047372,16.712619
2.2047354,15.905571
2.2047304,16.421185
2.74432452,20.96083
3.0763776,16.81
3.922814,15.46842
3.92281072,15.614137
3.92289,15.69
3.446459,14.594
3.312846,10.861521
3.6191613,16.92559
3.142833,15.13215
3.0440499,13.585308
2.7667641,11.646151
1.74748753,12.385945
2.686502,14.5717
16.254611,8.709393
0.8378434,14.986433
0.83784,14.896761
1.354133,13.092
4.7228124,10.682177
2.1605156,20.84874
1.3484978,15.636555
1.3484954,16.667783
4.2986432,14.12334
3.3023881,19.61575
4.637038,16.8135
3.1810781,13.383546
4.6058749,14.022459
3.547851,15.48
3.1743516,13.170575
3.37796,18.38276
2.8126548,14.000041
2.5495551,13.78707
2.1061607,16.02887
1.8209993,16.409976
4.1752387,13.843115
4.3315366,6.792654
4.375021,6.882326
4.5776348,17.59813
2.516729,11.433
3.2642736,17.71022
4.193649,14.90797
2.292102,15.6926
4.3888497,13.22662
2.7439004,11.960003
4.1876244,14.414774
4.7423729,10.121727
3.9228038,12.520453
3.1316666,8.9672
4.1480467,8.574885
4.763387,10.223
3.3488702,15.80469
1.36665436,15.490838
3.8537768,15.02006
2.5441765,11.37711541
2.5441828,11.960003
4.2042001,14.022459
4.324799,18.920792
2.350621,12.767051
4.2180896,12.273855
5.416081,12.621334
3.3252725,11.186582
3.560829,12.923977
7.817953,13.394755
3.2768837,11.825495
3.0566527,13.529263
4.908897,18.819911
3.105161,16.824709
3.1414391,15.815899
1.6091788,18.887165
3.5862202,13.809488
2.2252577,10.592505
3.185315,6.310667
1.8882378,15.513256
3.7955202,11.478016
7.3279474,8.0973816
1.73185606,11.56766808
2.7886556,9.90873894
1.9416423,12.09449018
3.0876262,13.05846252
3.583893,9.785457
1.9153073,11.937585
9.55237,2.44
21.05704,4.35
9.113678,2.2
13.673694,2.388
20.519617,2.852
30.793091,1.94
41.05854,2.601
54.76992,2.607
2.541,2.05
6.1349779,12.778238
6.1349847,12.06086323
6.134989,12.55405838
6.134985,12.73340208
15.92346,2.5320132
15.92346,2.51
11.57779,1.482
11.57797,1.664
27.5909,2.608
27.59221,2.916
107.245,2.562
1.62116,1.31
11.53533,11.500434
11.5366,11.466807
2.87598,7.330686
2.8758911,6.83749
4.75642,1.699
4.75615,1.64
17.1784,2.522
17.1784,2.39
21.216398,11.937585
17.471291,3.49
17.471275,3.53
17.471278,3.55
4.137437,2.7
2.21857578,12.901559
2.218573,12.756
2.218577,12.542871
8.8803232,3.39512346
8.8803256,3.41
8.88029,3.39
28.579889,3.1823776
28.579743,3.195
28.5805,3.08
38.353037,2.995
38.352562,3.1168896
38.3525,3.04
3.308958,17.317905
0.926118,1.72
6.441008,2.25
16.202159,2.501
16.20166,2.34302132
3.52474859,15.46842
3.524746,15.233
1.008035,1.745
25.1292,2.697
7.78993,0.892
3.092926,1.602
6.76458,1.511
46.859,1.61
22.717,1.31
6.03607,4.71
47.42489,2.607
17.667087,2.0
29.79749,1.87
3.97664,0.75
7.90754,0.818
12.1621839,1.137
7.434151,2.07506422
7.049144,2.62
7.0491423,2.54535814
3.04405,1.5
3.04405,1.36354953
2.76953,1.24
5.70588,1.533
4.12688,16.14096
22.89104,2.199
56.00819,4.23
84.25999,3.25
0.959641,1.67
0.959632,1.574
0.95965428,1.627
29.8454,3.0
29.8464948,2.923
29.84622,2.74
18.712024,9.07303305
18.71204,9.718203
46.9622,2.54
13.6308205,3.41
13.63083,3.48
13.630828,3.42633318
13.63083,3.36
14.339156,2.45
5.2549,2.42763557
5.254467,2.45
7.1079384,2.16351593
20.543847,2.58229101
9.058807,2.91575244
21.4027,3.06451296
15.611,2.884
6.3980661,2.84
6.398042,2.79
18.8805,2.73
18.87974,2.39
6.527363,2.89646124
111.4367,11.242627
0.719573,1.613
3.98442,2.16
146.05,2.49
11.8143,7.39794
11.8143,7.263432
11.81399,6.86
1.0376109,1.46954368
1.0391353,1.35
3.6451398,3.228
3.6451389,3.11976057
55.087,3.89
9.4903,2.247
9.1205,2.53
9.0949,2.53
9.1004157,2.469
3.5379559,1.551
3.53796,1.58
6.42975,1.37
6.429575,1.538
0.9809734,22.75427
10.751014,2.53625843
10.75101,2.56
19.60562,2.52442508
19.6053,2.48
7.713057,3.0
20.77288,3.75
20.772858,3.82838127
20.772907,3.9
52.56363,3.42855926
52.5636,3.34
52.563491,3.343
10.28891,2.74
10.288914,2.4801338
3.585287,2.004
5.973865,1.979
11.230511,2.001
1.6739035,3.88
3.31392,16.14096
4.73401,5.28
13.86375,2.592
13.86375,2.592
5.3518,1.82
5.35117,1.9
5.817608,10.42437
11.390931,10.59248676
11.39109,10.558878
11.3909311,10.44677001
20.2729914,11.80305668
20.273034,12.498035
8.28246,2.44
0.3693038,1.69
9.1708,12.206601
7.9752,1.014
17.30713,3.0
25.575,1.565
0.179715,0.89
28.38236,9.056872
6.5693,12.273855
6.569188,13.56286665
0.2803226,1.54
0.2803244,1.51
7.7485,7.0
0.3652575,0.935
9.97748,2.3
32.939623,2.37
32.93963,2.38
32.940045,2.61
8.865663,2.46597575
8.8665,2.24179614
4.7369683,2.69
4.7369696,2.71257333
3.2253993,1.73
7.3744897,2.85
2.1748,1.75
0.381078,2.5
15.38857,2.35
0.584249,1.164
8.32834,2.12
11.168454,11.209
11.168459,11.859122
2.4675,1.343
7.06005,1.281
24.3645,2.358
2.18056,18.49485
2.18053332,16.06246934
2.18053539,16.19697711
2.1805577,18.405178
3.20466,14.5717
20.8851,5.68
42.3633,7.82
3.48456408,3.44
2.62669762,18.41635529
2.6266657,17.396368
11.633478,9.52763359
11.63344,9.52765
11.633478,9.50521563
11.6334681,9.26982704
50.818947,2.41
50.818947,2.41
2.36902,1.70824866
0.658524,3.3
7.814,0.705
14.697,2.93
19.482,2.73
6.771315,4.48
19.89526,7.5
3.471745,2.59
7.138048,3.53
10.45582,2.48
14.76289,1.95
14.893291,9.494023
3.2588321,13.33871
3.2589263,11.209
9.21165,3.06
48.36685,11.276254
16.9841,2.63
4.024867,10.054473
10.0546535,2.078
10.054626,2.25
24.646582,1.69
24.646729,1.582
44.556456,1.62
44.55603,1.458
4.09849,11.982421
4.098507,13.405964
4.098503,11.646151
8.992,5.299
8.99213,5.13
20.66093,3.134
20.6602,3.01
31.7154,3.43
31.71701,3.484
4.34934,1.212
12.4551225,8.675766
5.42513,5.76
2.995629,15.434793
2.995607,15.13215
1.422614,1.43
1.422614,1.43
5.340888,3.2
5.340888,3.2
4.01593,1.655
4.01593,1.54
4.01593,1.55
10.56103,2.29
10.56103,2.42
10.56103,2.49
4.60497,5.71
4.0179694,1.015
13.102,2.66
6.535,3.31
20.35847252,10.55
3.00265,7.655747
5.06963,2.49
10.9947,4.09
8.407115,13.45077684
10.13675,4.3
10.1367349,5.06645928
18.24783,11.88151954
4.1662739,15.681391
4.736529,15.35633
4.73620865,15.13212395
5.031623,19.95202
1.7100588,17.03768
1.7100566,19.537287
3.329441,16.174587
0.9689951,15.860735
3.0801716,17.093725
2.8717518,17.59813
4.6117093,21.40919
3.474119,20.51247
3.4741085,19.514869
3.6127647,17.777474
2.255251,14.829507
5.55149,15.24421375
5.55149296,12.71098411
5.5514926,14.257848
2.7033904,15.076
2.9895932,19.044091
7.8457,13.372
2.7347749,17.183397
3.24406,20.84874
1.4811235,21.196219
86.647661,10.54
1.763588,16.948008
141.241671,11.09691
0.412,0.51
3.743208,1.71
10.423648,4.32
22.342989,11.27
54.32031,6.56
1.706291,11.54527
0.837495,1.416
0.837491,1.4807089
0.8374907,1.47
0.8374907,1.47
0.8374912,1.46
0.8374907,1.47
45.294301,2.355
45.29485,2.227
45.294301,2.355
3.4876812,5.77
6.02976,1.25
5.286965,0.46
7.071392,0.567
10.311767,1.154
16.1456994,2.17
27.453592,0.861
15.9653287,3.486
179.60978,5.45
3.1800218,1.536
3.1800218,1.536
4.901452,1.597
4.901452,1.597
7.95839,0.86
7.95839,0.86
14.749143,2.903
14.749143,2.903
6.4816307,2.49
21.22265,2.65
224.77833,7.0840758
18.7959228,8.059
50.790391,12.341
4.4379629,19.660586
4.4379637,19.122554
10.3134,0.64
13.7815,1.51
23.0923,1.51
6.790123,12.621334
4.942782,14.448401
217.83184,12.419572
1047.8356,9.180171
11.8728787,2.213
31.578659,5.02
175.06,3.87
1071.23205,10.16
1.4857108,14.68
1.4857108,14.68379
988.88112,11.94877343
6.99205,0.853
9.28699,2.209
3.6961049,1.773
3.69611525,1.868
3.6961219,1.91
10.854092,3.07
10.85409089,3.047
10.8540774,2.894
77.61130017,2.744
77.61184,2.75
77.611455,2.606
6.0984882,0.821
19.578328,0.952
2.78578,1.639
2.785755,1.6354
2.7858212,1.639
289.863876,2.1
289.8623,2.38
1.678328,1.381
3.5538229,1.57
13.83989,1.486
16.23855,3.679
13.36702,0.3098
21.301848,0.755
39.7922622,2.03
105.599,4.3
21.087168,12.240228
21.0874,13.68
21.08721,13.9
3.213658,4.124912
3.21346,4.002
6.87349,13.11
6.8731697,16.14096
6.87349,14.23543
68.9583216,1.199
1.8555588,9.550068
1.8555582,14.46
1.8555577,11.65736
1.855558,9.98
1.7208604,15.031269
2.6843285,13.361
3.79701816,10.962
3.21751883,12.22
10.290994,13.79
3.52563254,12.11
3.0240933,12.498035
3.02409309,13.0
3.0240949,13.663771
3.024095,13.45
5.33408384,16.25
12.8747099,12.67
8.6001536,22.31
3.24674,13.9
3.2467293,12.22
3.246722,13.4508
2.455239,10.76
2.45524122,11.197791
10.5737534,2.37
33.60134,9.057
3.54846,16.04
3.5484657,15.984034
3.548469,13.56289
45.154,7.1
85.312,9.0
130.194,9.7
81.73778,2.215
81.73778,2.215
125.63243,8.373123
4.030467,4.74139884
328.24017,11.57887706
3.234723,14.83
3.234702,13.103321
3.2346996,14.616536
5.714932,1.31
12.4417,0.54
18.16406,1.95
122.3874,1.61
267.291,1.41
5.39875259,2.357
5.398763,2.31
9.605027,0.979
4.885525,16.567
4.8854922,18.483641
4.8854892,18.180998
4.8854948,17.956818
7.340711,10.76
7.340718,14.8
8.884924,11.55
8.8849116,11.77
1.5449298,15.24424
3.57878087,10.761
0.35500745,1.201
3.52254,15.906
3.5225047,15.479629
3.5224991,15.871944
394.62508,8.08167508
114.73635,13.49
191.2318,6.14
6.24658,15.322703
4.72673978,1.478
4.72673978,1.478
1.40152604,1.63
1.4015,1.39
2.2531136,0.85
2.2531,0.8
3.6906777,1.385
3.6904,1.35
7.4512,1.57
7.4507245,1.521
24.736959,1.727
24.73694,1.635
24.73712,1.43
24.73723,1.73
3.777931,1.282
3.77792,1.169
3.77794,1.272
1.9495378,1.242
3.81433,1.088
4.052037,4.7
4.9899093,2.438
2.753436,1.032
2.7299025,1.32
8.457463,1.367
5.3587657,1.305
5.35882,1.38
3.1239035,1.147
0.768377,1.35
0.768448,1.332
0.76837931,1.325
12.2519,2.3
12.252131,2.42
12.252284,2.39
0.792052,4.72
2.14878,16.8135
2.82406,17.14977
2.8240932,16.98160576
2.647298,14.90797
0.7668944,13.506845
35.45533,9.157753
7.532806,11.747032
4.119027,12.800678
3.5357173,4.976796
3.27623,12.32987877
4.84532,14.57167491
3.24253,13.89913607
3.05125,13.56286665
4.511164,17.878355
54.18915,11.99360935
